paper_id,author
312711,B Cahoon
1104003,H Schutze
1104003,J Pedersen
1152163,R Picard
1104354,J Martin
1104354,F Korn
1104354,B Shneiderman
132724,J Carbonell
132724,Y Yang
132724,R Frederking
132724,R Brown
132724,Y Geng
132724,D Lee
1104914,G Grefenstette
1105286,A Moffat
1105286,N Sharman
1105286,J Zobel
1105510,T Watson
1105510,T Rakowski
1105526,A Ghias
1105526,J Logan
1105526,D Chamberlin
1105526,B Smith
208320,D Oard
208320,G Marchionini
1106107,D Kuokka
1106107,L Harada
14759,A Hauptmann
14759,P Scheytt
14759,H Wactlar
14759,P Kennedy
1107173,J Daniels
1107173,E Rissland
1107219,B Bartell
1107219,G Cottrell
1107219,R Belew
4535,J Xu
4535,W Bruce
1056704,T Kolda
1056704,P Dianne
1108203,W Chang
1108203,D Murthy
1108203,Y Mei
1108203,A Zhang
963374,D Mladenic
1109309,Y Gertner
1109309,S Goldwasser
1109309,T Malkin
42581,G Flammia
42581,V Zue
1110781,B Chor
1110781,N Gilboa
1110781,M Naor
1111055,W Greiff
1111107,S Weiss
1111107,S Kasif
1014165,L Chen
1014165,K Sycara
1112301,R Swan
1112301,J Allan
1112801,K Koskenniemi
267643,B Michael
267643,J Franklin
267643,D Srivastava
267643,B Jonsson
267643,M Franklin
103549,J Daniels
103549,E Rissland
1115601,J Daniels
1115601,E Rissland
186007,L Ballesteros
186007,W Bruce
1122824,B Bartell
1122824,G Cottrell
1122824,R Belew
653349,M Fang
653349,N Shivakumar
653349,H GarciaMolina
653349,R Motwani
653349,J Ullman
1088830,B Velez
1088830,R Weiss
1088830,M Sheldon
1088830,D Gifford
1128240,N Noy
1128240,C Hafner
186020,P Sheridan
186020,M Wechsler
186020,P Schauble
939896,U Manber
977337,J Karlgren
1116900,Y Yang
1116900,J Carbonell
1116900,R Brown
1116900,R Frederking
1121151,C Cardie
1121151,S Mardis
1129449,S Weiss
1129449,S Kasif
1129449,E Brill
1129951,M Choy
1129951,M Kwan
1129951,H Leong
1125966,B Yuwono
1125966,D Lee
1127423,A Tombros
1116441,M Wolverton
1114914,M Lenz
1114914,A Hubner
1114914,M Kunze
97302,E Bloedorn
97302,I Mani
97302,T Richard
1115732,W Cohen
1134671,B Kero
1134671,S Tsur
797093,C Lin
797093,E Hovy
1138998,J Karlgren
1139174,P Raghavan
1140120,G Nutt
1108484,F Berger
1108484,T VanDerWeide
110509,J David
110509,K Joshua
110509,D Kramer
110509,L Andrea
110509,S Arthur
110509,C Smith
34018,L Rowe
34018,J Boreczky
34018,C Eads
1119430,H Schutze
29352,A Bestavros
272346,M Lenz
1154418,M Langheinrich
1154418,A Prof
1154418,D Ipke
1154418,W Prof
1154418,O Etzioni
48847,L Raschid
48847,Y Chang
48847,B Dorr
1105314,Z Lu
1105314,J Callan
1105314,W Bruce
16218,D Freitag
1105107,M Califf
41264,D Freitag
41264,D Pierce
77782,S Soderland
77782,W Lehnert
109492,E Riloff
109492,W Lehnert
104600,I Newswire
104600,D Radev
104600,K McKeown
23536,S Wermter
23536,E Riloff
23536,G Scheler
23536,E Riloff
16212,M Califf
16212,R Mooney
17096,S Soderland
17096,W Lehnert
58707,E Riloff
58707,H Lytinen
58710,S Soderland
58710,D Fisher
58710,J Aseltine
58710,W Lehnert
58710,D Hardy
58710,M Schwartz
183390,S Kanade
141143,G Neumann
141143,R Backofen
141143,J Baur
141143,M Becker
141143,C Braun
195057,D Freitag
814218,S Soderland
814218,N Hill
824974,R Yangarber
824974,R Grishman
1108272,A Kehler
850038,M Craven
850038,D DiPasquo
850038,D Freitag
850038,A McCallum
850038,T Mitchell
850038,K Nigam
850038,S Slattery
1113851,R Mooney
1113851,P Bennett
1113851,L Roy
1123706,S Harabagiu
1123706,D Member
1123706,S Moldovan
1129836,M Johnston
1129836,F Busa
195056,J Cowie
195056,T Wakao
195056,L Guthrie
195056,W Jin
195056,J Pustejovsky
195056,S Waterman
963313,J Furnkranz
963313,T Mitchell
963313,E Riloff
277725,E Riloff
277725,A Lorenzen
1133976,Y Zhang
1133976,J Fessler
1133976,N Clinthorne
1133976,W Leslie
1133976,R Kresge
1139098,I Muslea
1139098,S Minton
1139098,C Knoblock
1139044,A Meyers
1139044,C Macleod
1139044,R Yangarber
1139044,R Grishman
1139044,L Barrett
1139044,R Reeves
16219,N Kushmerick
16219,D Weld
16219,R Doorenbos
791022,I Muslea
791022,S Minton
791022,C Knoblock
66045,N Ashish
66045,C Knoblock
5040,D Lewis
4640,D Koller
12961,A McCallum
12961,K Nigam
27058,K Nigam
27058,A McCallum
27058,S Thrun
27058,T Mitchell
5043,D Lewis
88355,M Sahami
88355,S Dumais
88355,D Eric
12950,T Kalt
1102553,S Chakrabarti
1102553,P Indyk
1109849,S Scott
1109849,S Matwin
1111868,J Lafferty
1111868,P Venable
5044,D Lewis
5044,E Voorhees
5044,D Harman
119740,J Yang
119740,P Pai
119740,V Honavar
119740,L Miller
207746,L Douglas
207746,B Andrew
207746,K McCallum
1137799,J Klavans
1137799,M Kan
140045,D Mladenic
140045,M Grobelnik
6839,J Callan
1108157,J Callan
311328,M Baldonado
311328,C Chang
311328,L Gravano
311328,A Paepcke
635667,T Mullen
635667,M Wellman
301632,G Kopec
1110973,G Marchionini
1110973,C Plaisant
1110973,A Komlodi
1120440,B Cheng
1120440,A Zhang
1120440,R Acharya
1120440,C Sibata
1130050,J French
1130050,C Viles
1133786,J Vidal
1133786,T Mullen
1133786,P Weinstein
1133786,E Durfee
613033,D Andresen
613033,T Yang
613033,O Egecioglu
613033,O Ibarra
613033,T Smith
796538,M Baldonado
796538,C Chang
796538,L Gravano
796538,A Paepcke
1139853,J French
1139853,A Powell
1139853,W Creighton
612541,X Cheng
612541,R Dolin
612541,M Neary
612541,S Prabhakar
612541,K Ravi
612541,K Wu
612541,D Agrawal
612541,A El
612541,A Freeston
612541,A Singh
612541,T Smith
612541,J Su
1140845,D Wu
1140845,D Agrawal
1140845,A El
1140845,A Ambuj
24812,W Birmingham
24812,E Durfee
24812,T Mullen
24812,M Wellman
36031,T Minka
36031,R Picard
36947,S Brin
36947,J Davis
36947,H GarciaMolina
595415,G Kaiser
595415,S Dossick
595415,W Jiang
595415,J Yang
29467,W Bruce
29467,R Cook
29467,D Wilder
240831,F Korn
240831,B Shneiderman
244971,H Ahonen
244971,B Heikkinen
244971,O Heinonen
244971,P Kilpelinen
682938,W Walsh
682938,M Wellman
613031,D Andresen
613031,L Carver
613031,R Dolin
613031,C Fischer
613031,J Frew
613031,M Goodchild
613031,O Ibarra
613031,R Kothuri
613031,M Larsgaard
613031,B Manjunath
613031,D Nebert
613031,J Simpson
613031,T Smith
613031,T Yang
613031,Q Zheng
337284,L Gravano
337284,C Chang
337284,H GarcaMolina
337284,A Paepcke
861422,V Holmedahl
861422,B Smith
861422,T Yang
861441,H Zhu
861441,T Yang
861441,Q Zheng
861441,D Watson
861441,O Ibarra
861441,T Smith
863788,K Ravi
863788,K Divyakant
863788,A Amr
863788,E Abbadi
863788,A Singh
863788,T Smith
860049,D Wu
860049,D Agrawal
860049,A El
860049,A Ambuj
860049,S Terrence
860049,R Smith
1114663,R Fateman
1130888,S Park
1130888,E Durfee
1133414,E Durfee
1133414,T Mullen
1133414,S Park
1133414,J Vidal
1133414,P Weinstein
675318,A Nica
675318,E Rundensteiner
600593,O Zaane
600593,M Xin
600593,J Han
1130885,E Glover
1130885,S Park
1130885,A Arora
1130885,D Kiskis
1130885,E Durfee
696599,S Park
696599,E Durfee
696599,R Daniel
696599,J Lagoze
1134158,D Andresen
1134158,T Yang
1136532,D Stotts
1136532,J Smith
1136532,P Dewan
1136532,K Jeffay
1136532,F Donalson
1136532,D Smith
1136532,S Smith
1136532,J Weiss
1136532,C William
782082,B Bhargava
782082,M Annamalai
1140702,R Prince
1140702,J Su
1140702,H Tang
1140702,Y Zhao
1140725,D Andresen
1140725,T Yang
1140725,O Ibarra
1140725,O Egecioglu
183113,S Adal
183113,K Candan
183113,S Chen
183113,K Erol
183113,V Subrahmanian
1115987,R Rivest
768938,L Qiao
768938,K Nahrstedt
878885,L Qiao
878885,K Nahrstedt
1102787,M Ernst
1102787,G Yuval
1119955,O Goldreich
1119955,S Goldwasser
1119955,S Halevi
1138144,J Gray
1138144,A Kshemkalyani
1138144,M Matyas
1138144,M Peyravian
1138144,G Tsudik
1139090,E Zadok
1139090,I Badulescu
1139090,A Shender
2221,O Goldreich
2289,R Rivest
2289,A Shamir
2289,L Adleman
76693,R Rivest
69013,T Braun
69013,C Diot
117723,G Tsudik
160005,M Blaze
1102498,J Millen
1102498,H Ko
97546,O Goldreich
97546,S Goldwasser
97546,S Halevi
2170,R Canetti
2170,C Dwork
2170,M Naor
2170,R Ostrovsky
1114604,E Caspi
1114604,N Weaver
1126948,M Blaze
1126948,M Strauss
1137348,M Blaze
860655,Z Dang
860655,R Kemmerer
1139122,T Kozlowski
1139122,S Smolka
680891,M Bellare
680891,S Halevi
680891,A Sahai
680891,S Vadhan
2141,M Bellare
2141,O Goldreich
2141,S Goldwasser
2220,O Goldreich
2247,R Impagliazzo
2247,M Naor
5761,M Blaze
7356,R Boyer
7356,J Strother
76717,M Wiener
24681,R Molva
24681,G Tsudik
24681,E VanHerreweghen
24681,S Zatti
70871,T Ylonen
1106529,A Aziz
1106529,M Patterson
76686,P Rogaway
76686,D Coppersmith
76686,L Paulson
119323,D Boneh
119323,M Franklin
159041,U Manber
168067,M Blaze
173422,S Bellovin
184757,L Gong
184757,N Shacham
230928,I Agi
230928,L Gong
883247,D Boneh
883247,C Dunworth
883247,R Lipton
76720,D Wagner
76720,B Schneier
76720,J Kelsey
365210,I Goldberg
365210,D Wagner
335546,D Wagner
335546,S Bellovin
42164,M Bellare
42164,A Desai
42164,E Jokipii
42164,P Rogaway
464764,L Gong
627147,P Syverson
627869,A Pfitzmann
627869,R Amann
805155,P Sudame
805155,B Badrinath
881040,R Campbell
881040,D Sturman
881040,T Tock
57737,D Engler
57737,D Wallach
57737,M Kaashoek
1105694,D Mazieres
1111454,M Bellare
1111454,S Goldwasser
1114065,I Cyliax
1114065,S Johnson
1114065,B Bose
1120283,J Cavalaris
1120283,G Lee
1120283,S Hariharan
1120283,A Rahul
1114717,D Boneh
1114717,R Lipton
1131394,H Gutowitz
672073,M Bellare
672073,A Desai
672073,D Pointcheval
672073,P Rogaway
1133833,A Adams
1133833,P McDaniel
1133833,D Stephenson
1130527,T Baldin
1130527,G Bleumer
1130512,B Pfitzmann
1138154,P Janson
1138154,G Tsudik
741864,T Sander
741864,C Tschudin
1135516,M Luby
1135516,J Staddon
1136683,C Shi
1136683,B Bhargava
1138160,G Tsudik
1138160,E VanHerreweghen
1139149,M Debbabi
1139149,M Mejri
1139149,N Tawbi
1139149,I Yahmadi
2149,M Bellare
2149,P Rogaway
617373,S McKee
617373,W Wulf
617373,C Trevor
1153174,G Bleumer
156656,M Bellare
156656,P Rogaway
2146,M Bellare
2146,P Rogaway
1154477,P Kirstein
1154477,G MontasserKohsari
1154602,J Kilian
1154602,E Petrank
373054,A Yasinsac
543710,M Bellare
543710,P Rogaway
347249,E Nahum
347249,O Sean
347249,M Orman
347249,R Schroeppel
1139134,J Bekmann
1139134,P DeGoede
1139134,A Hutchison
2140,M Bellare
2140,O Goldreich
2140,S Goldwasser
56329,P Kocher
2172,R Canetti
2172,O Goldreich
2172,S Halevi
27328,L Gong
27328,R Needham
27328,R Yahalom
123842,M Abadi
123842,A Gordon
294033,Y Chu
294033,J Feigenbaum
294033,B LaMacchia
294033,P Resnick
294033,M Strauss
62661,M Naor
62661,A Shamir
340278,M Bellare
340278,P Rogaway
391021,M Franklin
651582,A Herzberg
651582,M Luby
1109846,L Gong
1122641,J Kelsey
1122641,B Schneier
1122641,D Wagner
1122641,C Hall
191067,R Kailar
191067,V Gligor
191067,L Gong
1140911,J Gray
1140911,K Fai
1140911,E Ip
1140911,K Lui
265656,D DePaoli
265656,A Goscinski
1152586,A Chitturi
185,I Chuang
185,R Laflamme
185,P Shor
185,W Zurek
185,E Ginzton
2139,M Bellare
2139,O Goldreich
2147,M Bellare
2147,P Rogaway
2161,D Boneh
2161,R DeMillo
2161,R Lipton
2161,S Even
2161,O Goldreich
2228,O Goldreich
2228,H Krawczyk
2248,R Impagliazzo
2248,S Rudich
19716,D Davis
29610,H Gobioff
29610,G Gibson
29610,D Tygar
64599,S Bellovin
64599,M Merritt
65947,L Gong
65947,P Syverson
84258,S Halevi
84258,H Krawczyk
161579,R Canetti
161579,U Feige
161579,O Goldreich
161579,M Naor
112064,N Asokan
2268,M Naor
2268,R Ostrovsky
2268,R Venkatesan
2268,M Yung
117486,L Gong
127621,H Chau
127621,H Lo
191062,L Gong
191062,T Mark
191062,A Lomas
191062,R Needham
191062,J Saltzer
38432,G Bella
38432,L Paulson
178627,A Blum
178627,M Furst
178627,M Kearns
178627,R Lipton
297114,C Schnorr
297114,S Vaudenay
71517,T Woo
71517,R Bindignavle
71517,S Su
71517,S Lam
472582,R Canetti
472582,D Micciancio
472582,O Reingold
26969,M Bellare
26969,R Canetti
26969,H Krawczyk
582211,C Blundo
582211,A DeSantis
582211,D Stinson
652991,J Bennet
182001,E Brickell
182001,D Gordon
182001,K McCurley
182001,D Wilson
24887,L Gong
42221,P Long
42221,M Warmuth
206146,S Bellovin
206146,M Merritt
626993,M Franklin
626993,M Yung
116412,R Hauser
116412,M Steiner
116412,M Waidner
466610,P Cheng
466610,J Garay
466610,A Herzberg
466610,H Krawczyk
862155,C Gunter
862155,T Jim
206156,V Gligor
206156,R Kailar
206156,S Stubblebine
206156,L Gong
1106876,R Gennaro
1106876,D Micciancio
1106876,T Rabin
1107520,M Zimand
1107936,D Boneh
1107936,J Horwitz
1108290,H Lo
1108290,H Chau
1108824,A Russell
1087658,L Paulson
276944,Y Frankel
276944,P Gemmell
276944,P MacKenzie
276944,M Yung
1111016,S Halevi
1111016,S Micali
1111511,D Boneh
95225,N Bshouty
95225,T Hancock
95225,L Hellerstein
1087665,D Wagner
1087665,B Schneier
1115252,S Decatur
1115252,O Goldreich
1115252,D Ron
1128545,D Scott
1128545,W Alexander
1128545,A Arbaugh
1128545,S Keromytis
1128545,J Smith
826826,A Yasinsac
826826,W Wulf
62649,G Ateniese
62649,C Blundo
62649,A DeSantis
62649,D Stinson
1119777,B Ran
1119777,C Shai
1119777,H Herzberg
1119071,R Micali
1128681,D Stinson
1116454,P Tadepalli
1116454,S Russell
681550,M Bellare
681550,M Yung
1127008,M Blaze
1127008,J Feigenbaum
1127008,J Lacy
1126945,G Bleumer
294036,P Devanbu
294036,S Stubblebine
347252,H Orman
347252,O Sean
347252,M Richard
347252,S Schwartz
65956,D Maughan
65956,M Schertler
65956,M Schneider
65956,J Turner
1137816,M Franklin
1137816,G Tsudik
1139117,M Burmester
1139117,Y Desmedt
1139117,G Kabatianski
1102451,O Goldreich
1139126,B DeDecker
1139126,F Piessens
1139127,J AlvesFoss
1139127,T Soule
1139128,C Boyd
1139132,A Huima
1139132,T Aura
75004,R Gennaro
75004,S Micali
282140,L Foner
2142,M Bellare
2142,S Goldwasser
2142,D Micciancio
2137,M Bellare
2137,R Canetti
2137,H Krawczyk
2138,M Bellare
2138,R Canetti
2138,H Krawczyk
282137,C Thirunavukkarasu
282137,T Finin
282137,J Mayfield
1153712,G Bleumer
139686,B Pfitzmann
139686,M Waidner
364020,R Kailar
364020,V Gligor
364020,S Stubblebine
1154438,R Anderson
1130522,B Pfitzmann
1130522,M Waidner
162282,D Wagner
42283,D Wagner
76646,J Kelsey
76646,B Schneier
76646,D Wagner
76646,C Hall
76646,E Minnehaha
1107202,D Wagner
76643,J Kelsey
76643,B Schneier
76643,D Wagner
76643,E Minnehaha
1121329,S Wilson
1121329,D MacKay
1130476,D Davis
7729,W Marrero
7729,E Clarke
7729,S Jha
804691,N Asokan
804691,G Tsudik
804691,M Waidner
1139119,W Marrero
1139119,E Clarke
1139119,S Jha
1897,M Blum
1897,S Kannan
2148,M Bellare
2148,P Rogaway
2174,R Canetti
2174,S Halevi
2174,A Herzberg
582174,G Necula
582174,P Lee
70814,M Abadi
86494,C Gunter
86494,S Nettles
86494,J Smith
120375,D Micciancio
2244,A Herzberg
2244,M Jakobsson
2244,S Jarecki
2244,H Krawczyk
2244,M Yung
116410,M Bellare
116410,J Garay
116410,R Hauser
116410,A Herzberg
116410,H Krawczyk
116410,M Steiner
116410,G Tsudik
116410,M Waidner
123312,C Cachin
226879,J Boyar
226879,R Peralta
741898,G Vigna
407057,R Impagliazzo
1102617,D Boneh
1102617,R Lipton
1102789,J Xu
1102789,M Singhal
1103269,M Sirbu
1103269,J Chuang
1103990,N Weaver
1104064,C Cachin
181991,M Bellare
181991,J Garay
181991,T Rabin
1113447,M Burmester
1113447,R Rivest
1113447,A Shamir
1114242,A Rubin
1120301,J Kienzle
1120301,A Project
1123295,G Blelloch
1115941,R Rivest
1121056,J Linnartz
1121056,J Talstra
546026,M Blaze
546026,J Feigenbaum
546026,M Strauss
1153759,U Feige
1153759,S Goldwasser
709559,A Kahng
709559,J Lach
709559,W MangioneSmith
709559,S Mantik
709559,I Markov
709559,M Potkonjak
709559,P Tucker
709559,H Wang
709559,G Wolfe
1152428,G Necula
1152454,G Necula
1153705,G Necula
1153285,G Necula
1152770,G Necula
2168,R Canetti
681546,M Bellare
1152996,P Kumar
1153240,G Necula
1154707,G Necula
7099,A Myers
7099,B Liskov
595808,A Beimel
595808,B Chor
123313,C Cachin
123313,U Maurer
160037,G Tsudik
160037,E VanHerreweghen
1112779,E Selberg
1111643,J Kilian
1111643,T Leighton
1116854,C Cachin
2218,R Gennaro
2218,S Jarecki
2218,H Krawczyk
2218,T Rabin
146790,R Gennaro
146790,M Rabin
146790,T Rabin
1118438,C Cachin
1152082,J Millen
1154451,M Ranum
2250,A Juels
2250,M Luby
2250,R Ostrovsky
626897,J Wack
423863,M Crosbie
423863,P Spafford
29946,S Drossopoulou
29946,S Eisenbach
43706,S Forrest
43706,S Hofmeyr
43706,A Somayaji
43706,T Longstaff
667491,J Goguen
1104420,T Lane
1104420,C Brodley
1104420,A Siebert
1104420,D Good
1154431,I Krsul
1137189,T Lane
1137189,C Brodley
1137392,E Spafford
1137415,M Bishop
1140929,G Vigna
51062,L Gong
51062,X Qian
1107638,D Mazieres
1107638,M Frans
1087639,J Kelsey
1087639,B Schneier
1087639,D Wagner
1087639,E Minnehaha
1141040,B Guha
1141040,B Mukherjee
1137644,P Kirstein
1137644,G MontasserKohsari
340294,V Shoup
340294,R Gennaro
632279,D Safford
632279,D Lee
632279,D Hess
441960,D Martin
441960,J Sivaramakrishnan
441960,R Aviel
441960,D Rubin
1140914,B Cocosel
17845,J Mogul
265125,P Devanbu
265125,P Fong
265125,S Stubblebine
41136,M Livny
41136,R Ramakrishnan
41136,K Beyer
41136,G Chen
41136,D Donjerkovic
41136,S Lawande
41136,J Myllymaki
41136,K Wenger
1134161,A Goldberg
1134161,R Buff
1134161,A Schmitt
889814,J Mitchell
889814,V Shmatikov
889814,U Stern
780733,S Bellovin
1133461,S Funfrocken
1134076,S Mittra
1134076,T Woo
1137362,A Muffett
1138156,P Janson
1138156,G Tsudik
1138156,M Yung
1139244,H Orman
1122698,R Oppliger
1122698,D Hogrefe
1140927,G Vigna
425213,J Xu
425213,M Singhal
37553,G Xie
37553,S Lam
87403,D Yau
87403,S Lam
790569,P Pan
790569,H Schulzrinne
1109273,O Spatscheck
1109273,J Hansen
1109273,J Hartman
1109273,L Peterson
811604,A Luotonen
811604,K Altis
1137192,J Bryan
1137192,L Christoph
1137192,L Schuba
426788,D Davis
426788,D Geer
426788,S Openvision
426788,T Ts
426788,M West
71508,J Kohl
1137322,D Atkins
1137322,J Schiller
1137322,L Gould
698953,G Bella
698953,E Riccobene
19720,J Kohl
19720,B Clifford
19720,N Theodore
19720,Y Ts
105911,A Fox
105911,S Gribble
446552,L Joncheray
785012,D Safford
785012,D Hess
785012,D Schales
1133836,P McDaniel
1133836,P Honeyman
1133836,A Prakash
1110110,V Ratnakar
1110110,M Livny
1123046,B Jung
1123046,W Burleson
1136895,M Alzina
1136895,W Szpankowski
1136895,A Grama
1139484,S Sahni
1139484,B Vemuri
1139484,F Chen
1139484,C Kapoor
1139484,C Leonard
1139484,J Fitzsimmons
1139484,V Sahni
1108360,J Fowlery
1108360,R Yagelz
1108360,J Rossignac
1122116,D Banks
1122116,M Stemm
1136888,D Arnaud
1136888,W Szpankowski
661013,K Seamons
661013,M Winslett
531007,J Danskin
531007,P Hanrahan
632155,A Zandi
632155,J Allen
632155,E Schwartz
632155,M Boliek
1154404,M Atallah
1154404,Y Genin
1154404,W Szpankowski
1111937,C Coffing
1111937,J Brown
490802,P Howard
490802,J Vitter
1133328,W Keong
1133328,N Sunghyun
1133328,C Chinya
1133328,V Ravishankar
18806,Y Zhao
18806,P Deshpande
18806,J Naughton
213584,M Krunz
213584,S Tripathi
242902,A Beers
242902,M Agrawala
242902,N Chaddha
463615,M Farach
463615,M Thorup
524086,B Guenter
524086,H Cheol
524086,R Mersereau
712261,J Goldstein
712261,R Ramakrishnan
712261,U Shaft
736217,D Grinberg
736217,S Rajagopalan
736217,U Boston
736217,R Venkatesan
736217,V Wei
736217,C Hong
505888,E Posnak
505888,H Vin
505888,R Lavender
1105327,M Siegel
1105327,S Sethuraman
1105327,J McVeigh
1105327,A David
1111396,M Dahlin
152615,I Hsu
152615,J Walrand
1136914,E Schwartz
1136914,A Zandi
1136914,M Boliek
45020,S Grace
45020,B Chang
45020,M Vetterli
227401,T Hofmann
227401,J Buhmann
447224,W Spears
1146394,G Davis
746737,B Evans
746737,J Teich
746737,C Schwarz
1153678,J Danskin
1130726,H Chao
1130726,P Fisher
1130726,Z Hua
1124067,Z Sijercic
1124067,G Agarwal
1124067,C Anderson
3148,K Curewitz
3148,P Krishnan
3148,J Vitter
1116607,D Hoang
1116607,P Long
1116607,J Vitter
1133676,D VanCampenhout
1133676,T Mudge
1045994,S Albers
1045994,M Mitzenmacher
1136851,K Shimizu
1136851,G George
1138331,G Zha
1138331,D Knight
1138331,D Smith
1146393,G Davis
4609,M Krunz
4609,H Hughes
11493,E Amir
11493,S McCanne
11493,M Vetterli
58588,H Frystyk
58588,N Consortium
58588,J Gettys
58588,A BairdSmith
58588,E Prudhommeaux
58588,H Wium
58588,C Lie
60265,A Moffat
60265,J Zobel
1130703,B Jawerth
1130703,W Sweldens
632873,B Orn
632873,J Yz
632873,A Wim
632873,S Yx
169489,W Tan
169489,E Chang
169489,A Zakhor
94641,P Nordin
94641,W Banzhaf
434712,P Howard
434712,J Vitter
485870,D Hoang
485870,P Long
485870,J Vitter
485870,M Hilton
485870,B Jawerth
485870,A Sengupta
734152,T Johnson
734152,R NewmanWolfe
752384,T Chang
752384,V Michael
752384,J Bove
13014,D Bader
13014,J JaJa
13014,R Chellappa
1104398,A Broder
1104398,M Mitzenmacher
1107450,P Shenoy
1107450,H Vin
63204,S Sethuraman
63204,M Siegel
310470,B Evans
310470,F Ayhan
310470,S Fakultesi
1121322,Y Fisher
1121322,D Rogovin
1121322,T Shen
1123183,S Grace
1123183,C Bin
1123183,Y Vetterli
1116769,B Gopinath
1116769,V Phalke
311290,P Howard
311290,J Scott
